,word,count
397,participating,99
398,depending,99
399,deciding,98
400,learned,97
401,impossible,97
402,determined,97
403,extending,97
404,connect,96
405,towards,96
406,express,96
407,actively,96
408,primarily,96
409,push,95
410,confident,95
411,everyday,95
412,prevent,95
413,connected,95
414,simply,95
415,yet,94
416,efficient,94
417,along,94
418,sleep,94
419,provided,93
420,communicate,93
421,takes,93
422,save,93
423,though,93
424,critical,93
425,reaching,93
426,researching,92
427,helpful,92
428,honest,92
429,public,91
430,daily,91
431,generally,91
432,identify,91
433,attributed,91
434,lack,90
435,across,90
436,sometimes,89
437,bad,89
438,meet,89
439,promote,89
440,completing,89
441,fully,89
442,behind,89
443,following,88
444,committing,88
445,energy,88
446,felt,87
447,growing,87
448,reflect,87
449,maintaining,87
450,real,87
451,air,87
452,mean,86
453,decided,86
454,seem,86
455,influenced,86
456,break,86
457,tend,85
458,usually,85
459,limit,85
460,engaged,85
461,larger,85
462,information,85
463,significantly,84
464,created,83
465,faster,83
466,involves,83
467,fit,83
468,direct,83
469,helped,82
470,big,82
471,let,82
472,overcome,82
473,changed,82
474,leave,82
475,taught,81
476,designed,81
