word,count
participating,99
depending,99
deciding,98
learned,97
impossible,97
determined,97
extending,97
connect,96
towards,96
express,96
actively,96
primarily,96
push,95
confident,95
everyday,95
prevent,95
connected,95
simply,95
yet,94
efficient,94
along,94
sleep,94
provided,93
communicate,93
takes,93
save,93
though,93
critical,93
reaching,93
researching,92
helpful,92
honest,92
public,91
daily,91
generally,91
identify,91
attributed,91
lack,90
across,90
sometimes,89
bad,89
meet,89
promote,89
completing,89
fully,89
behind,89
following,88
committing,88
energy,88
felt,87
